Age Group,"$45,916 or less","$45,916 - $91,831","$91,831 - $142,353","$142,353 - $202,800","$202,800 or more",All Brackets
Under 20,1025510,10150,2980,1340,740,1040730
20 to 24,1905560,153870,15820,4230,2020,2081500
25 to 29,1642640,569160,66740,12110,4610,2295260
30 to 34,1392000,721450,144210,30800,13600,2302060
35 to 39,1279220,741230,188050,47370,27000,2282880
40 to 44,1134860,720360,211090,57560,41540,2165420
45 to 49,1130330,727120,225430,64360,52440,2199680
50 to 54,1259600,773630,230850,66210,56120,2386420
55 to 59,1412430,767060,206290,61550,55160,2502490
60 to 64,1422480,648630,140120,43560,40030,2294820
65 to 69,1383870,468510,69050,23890,24320,1969640
70 to 74,1195050,311800,38700,15620,17540,1578710
75 to 79,873980,179130,22280,9230,10830,1095450
80 to 84,640030,108950,14640,5840,7450,776910
85 and over,724120,114290,19080,7760,10710,875950
Total,18421660,7015350,1595340,451420,364140,27847910